ownerUsername,ownerFullName,ownerId,likesCount,videoPlayCount,igPlayCount,timestamp,paidPartnership,url
angel__calories,𝒜𝓃𝑔𝑒𝓁食物卡路里 ˙Ⱉ˙吃播開箱 ❘ 熱量 ❘ 飲控 ❘ 超商 ❘ 團購,53342369591,225,,,2026-03-09T09:09:35.000Z,false,https://www.instagram.com/p/DVqHueLkU7c/
bnsooon,Benben｜班班,11413667,118,,,2026-03-04T16:40:36.000Z,false,https://www.instagram.com/p/DVeDXX_E50E/
hungkai.c,Steve,7674161987,3389,93528,81141,2026-02-27T04:08:34.000Z,false,https://www.instagram.com/p/DVP1FnwEg8j/
looooouise._,蔡佳玲,1325981638,-1,,,2026-03-01T16:17:22.000Z,false,https://www.instagram.com/p/DVWSUnnjzhW/
blossom0402,屁屁Li,324623447,1799,54133,54133,2026-03-01T10:34:14.000Z,false,https://www.instagram.com/p/DVVqaR9EyUV/
haaaa.4,ᴊᴏᴀɴɴᴇ,384466744,-1,,,2026-02-28T15:59:36.000Z,false,https://www.instagram.com/p/DVTrfqICVsu/
panpan_ifbbwellnesspro,潘潘教練❤️自然健美｜健身｜嬋柔,58352935413,217,,,2026-02-28T15:26:50.000Z,false,https://www.instagram.com/p/DVTm-4nElb-/
shouyayaya,Shouya 修亞,1210744957,432,,,2026-02-28T12:55:05.000Z,false,https://www.instagram.com/p/DVTWYKZklkg/
lion_long_gym,Lion🦁️｜雙北自由健身教練｜健體運動員,28151738325,28,2228,2175,2026-02-28T11:57:35.000Z,false,https://www.instagram.com/p/DVTOPcEkcmB/
yanglee1717,Lee_Yang,10838922069,200,,,2026-02-27T14:32:12.000Z,false,https://www.instagram.com/p/DVQ8skiEu89/
eatsome_0216,食評紀錄✍🏻 | 記錄各種美食🥰,64714437372,46,,,2026-02-27T10:12:20.000Z,false,https://www.instagram.com/p/DVQe9T_Etu2/
thisisann6601,怡安,1319826244,36,,,2026-02-26T16:21:49.000Z,false,https://www.instagram.com/p/DVOkck_Ceg1/
