ownerUsername,ownerFullName,ownerId,likesCount,videoPlayCount,igPlayCount,timestamp,paidPartnership,url
elup2u,ᴇʟᴠɪs ʟɪᴀɴɢ,290053749,-1,,,2026-05-31T23:49:47.000Z,false,https://www.instagram.com/p/DZBab2BEoNu/
linn___ru,林恩如  Linn,8467295250,44,,,2026-06-01T04:37:54.000Z,true,https://www.instagram.com/p/DZB7aF8E75W/
player._.310,Uzii,1031628747,139,,,2026-06-01T04:41:53.000Z,true,https://www.instagram.com/p/DZB73UMmA7O/
ehehzy_8519,Zoyi🐱ིིྀ,494098489,43,13271,11928,2026-06-01T03:07:18.000Z,true,https://www.instagram.com/p/DZBwzH4TSTU/
yc.oco,茜,1504150378,310,39246,31648,2026-05-25T12:00:32.000Z,false,https://www.instagram.com/p/DYwsjDmyH7v/
maggie0810510,Maggie 郭奕均,320372051,-1,24714,14016,2026-05-25T09:59:29.000Z,false,https://www.instagram.com/p/DYweZZ8Staz/
bobo_li_tagi,Li Bobo,2177247431,60,43860,35303,2026-05-25T09:44:55.000Z,true,https://www.instagram.com/p/DYwbp_vx1yR/
xiaoxuansu,蘇小軒 Becky Su,248038151,5056,568286,504017,2026-05-24T04:19:53.000Z,false,https://www.instagram.com/p/DYtSrkERRKa/
are_je.pi,jennny.C,57461111536,74,19875,15418,2026-05-21T03:58:31.000Z,false,https://www.instagram.com/p/DYliGAQzcXw/
_s33.33s_,酸酸,463741515,-1,,,2026-05-19T13:20:55.000Z,false,https://www.instagram.com/p/DYhY7amklz5/
ohhpeiiiiiii,背心姐姐🥹,53153366249,54,17392,12492,2026-05-19T11:00:32.000Z,false,https://www.instagram.com/p/DYhIfO0TMee/
02._.chuuu,Chuchu,3990148433,-1,53541,42040,2026-05-16T03:50:13.000Z,false,https://www.instagram.com/p/DYYpA_4tO-G/
cayogara,Cara Yoga & Life,300325086,242,29094,26318,2026-05-15T01:38:07.000Z,false,https://www.instagram.com/p/DYV0zkDTrBt/
tangyaya77,雅雅老師｜戶外運動｜皮拉提斯｜瑜珈療癒,1354165692,188,19528,17436,2026-05-13T00:49:01.000Z,true,https://www.instagram.com/p/DYQlqVQzz7d/
_cindystylish,𝒞𝒾𝓃𝒹𝓎🕊️ 𓂃,46422242130,-1,17888,13881,2026-05-12T05:14:45.000Z,true,https://www.instagram.com/p/DYOfkJppGoZ/
nancy_1108_,𝗡𝗮𝗻𝗰𝘆連心韻 | 模特 | 演員 | 舞者 | 歌手,2050978746,-1,12204,10717,2026-05-11T02:02:59.000Z,true,https://www.instagram.com/p/DYLkplmlbPr/
shawnolife,長毛象 Shawn 🦣,6544950450,340,99361,81435,2026-05-10T16:10:17.000Z,true,https://www.instagram.com/p/DYKg7eDPZIY/
tifferentview,Tiffany Chang,2033058193,33,14391,10922,2026-05-07T12:58:53.000Z,true,https://www.instagram.com/p/DYCeQRxh5TS/
manda__528,Amanda 台北女教練 國家健美代表隊,407035348,92,49870,36817,2026-05-06T07:53:50.000Z,true,https://www.instagram.com/p/DX_UsNTxdUI/
pei._.1024,派蒂 Pietty 🥧,40430657,267,70137,64736,2026-05-05T11:04:11.000Z,false,https://www.instagram.com/p/DX9F_fCII79/
midonei1231,蜜豆奶寶寶×奶茶葛格×肉苡媽媽,51192157410,-1,18657,14423,2026-05-01T02:53:37.000Z,false,https://www.instagram.com/p/DXx6gSxRnXP/
cotin_makeup,口天小姐ฅ •ﻌ•♡,8226244927,52,,,2026-04-29T10:36:59.000Z,true,https://www.instagram.com/p/DXtmRKQkd6-/
ssu_wei418,小黑碳｜思惟,1626371535,62,76863,59920,2026-04-28T09:15:44.000Z,false,https://www.instagram.com/p/DXq4B_YE9RB/
martin.com.tw,馬丁先生,281528594,63,5464,3943,2026-04-28T06:02:53.000Z,false,https://www.instagram.com/p/DXqg4UUExcl/
chalk_lie,巧克力,1190451049,215,283767,266863,2026-04-23T09:31:55.000Z,true,https://www.instagram.com/p/DXeB6TpAXww/
23.0__ii,IRENE,7018232523,-1,,,2026-04-22T11:14:51.000Z,false,https://www.instagram.com/p/DXbpCbfAUQ6/
ten54100626,Hana與十元媽咪的小花園♥,3547149672,16,,,2026-04-19T14:20:28.000Z,false,https://www.instagram.com/p/DXUP5U9j3w9/
lucky_haoo,小豪｜自媒體,70567191373,6,273,273,2026-04-19T10:10:05.000Z,false,https://www.instagram.com/p/DXTyvaZkdpv/
fisher.613,小魚 🐟,55928443346,208,36830,28821,2026-04-17T23:56:55.000Z,false,https://www.instagram.com/p/DXQH-RYk5_t/
andreafenggg,Andrea Feng馮雯,578920415,-1,35430,31168,2026-04-14T12:57:27.000Z,true,https://www.instagram.com/p/DXHNfBPktwt/
aiko__mua,ᴀɪᴋᴏت,8376878361,101,,,2026-04-13T15:24:15.000Z,true,https://www.instagram.com/p/DXE6bOegRPf/
vanessaxoxogal,Vanessa凡妮莎💓,287796127,34,68750,44941,2026-04-10T02:08:01.000Z,true,https://www.instagram.com/p/DW7wzOkD3lh/
sunny___gu,孟孟闆娘｜精油按摩｜高雄做臉｜G5體雕｜臉部撥筋｜采耳,3711481779,65,63676,50924,2026-04-09T10:04:14.000Z,true,https://www.instagram.com/p/DW6CdgLEn7w/
689.yr,無腦媽咪⚡️雷貝卡⚡️ 沄,7062969849,-1,21324,16695,2026-04-06T10:31:15.000Z,true,https://www.instagram.com/p/DWyV6X_k8cc/
030yeee_816,羅菈 Flora｜自媒體美業人,422542863,69,11532,9741,2026-04-05T08:16:44.000Z,true,https://www.instagram.com/p/DWvhj9LhOL1/
_imjolly_,喬莉,30784339650,64,13168,10297,2026-04-01T04:11:44.000Z,false,https://www.instagram.com/p/DWkzMnWCgco/
amoyching0824,妌Amoy,446920145,816,70092,63860,2026-03-23T12:00:00.000Z,false,https://www.instagram.com/p/DWOecqdSk6j/
crystal_jtw,I’m 水晶,6599148282,161,57331,57331,2026-03-23T04:12:40.000Z,false,https://www.instagram.com/p/DWNoQSBETcr/
326.feifei,我是小霏｜Rita,1912374,65,34748,29127,2026-03-23T04:03:18.000Z,true,https://www.instagram.com/p/DWNm-wqk1od/
keirahow2,綺拉keira,45600737868,419,,,2026-03-13T10:15:16.000Z,false,https://www.instagram.com/p/DV0ia_hE1eC/
reta601022,Fang Chi,319065938,181,34124,32696,2026-03-18T04:06:58.000Z,false,https://www.instagram.com/p/DWAv-fHkwQJ/
cass13lifestyle,凱西的老靈魂手札 ฅ́˘ฅ̀,2355295173,66,23924,20471,2026-03-16T04:00:08.000Z,false,https://www.instagram.com/p/DV7ltJ_D6kO/
lisababy________,Lisa💖零基礎美業創業系統｜肉芽專家｜台北做臉,420665121,84,16382,14143,2026-03-12T13:42:03.000Z,false,https://www.instagram.com/p/DVyUq5kiSL9/
lxj18__,小雞🐤,56332199050,77,57729,46544,2026-03-09T09:20:04.000Z,false,https://www.instagram.com/p/DVqIoS2kei8/
yanyan.music,言佳泫Lia,9982204856,-1,,,2026-03-09T07:24:57.000Z,true,https://www.instagram.com/p/DVp7wE3CfQH/
szuyu_0227,Krystal,609870210,-1,38595,25676,2026-03-04T07:15:01.000Z,false,https://www.instagram.com/p/DVdCiuVEZfw/
ga02.chu,佳盈｜韓國媳婦｜女創業家,2123202418,110,42547,39099,2026-02-24T13:30:00.000Z,false,https://www.instagram.com/p/DVJHSqhkw0d/
la_____chichichi,𝐋𝐚𝐜𝐡𝐢 𓍼,238524790,229,,,2026-02-24T04:45:57.000Z,false,https://www.instagram.com/p/DVILOJbk3zo/
moon.0215,Moon 沐木🌛,7292070233,581,,,2026-02-23T15:09:29.000Z,false,https://www.instagram.com/p/DVGtyKTEvbX/
yuyubb21,ʏᴜʏᴜ,12316173,-1,53707,53707,2026-02-23T13:03:10.000Z,false,https://www.instagram.com/p/DVGfNrgE8AW/
vickie.fan,范米淇,1793068068,157,14856,14856,2026-02-12T11:41:22.000Z,false,https://www.instagram.com/p/DUqBIloD6uc/
ps_zou,P.s. Zou 鄒,421515928,121,,,2026-02-12T14:42:17.000Z,false,https://www.instagram.com/p/DUqV7TYkkI1/
reginapeipei,🦋Regina薛蓓蓓,214870670,321,,,2026-02-10T08:17:37.000Z,false,https://www.instagram.com/p/DUkgUQ-gS8q/
pei._.1024,派蒂 Pietty 🥧,40430657,563,224605,215421,2026-02-09T11:09:15.000Z,true,https://www.instagram.com/p/DUiOhr1CShY/
chalk_lie,巧克力,1190451049,53,16788,13509,2026-02-09T04:43:06.000Z,true,https://www.instagram.com/p/DUhi6f_k8qw/
5.4.6.7.6.7.4.5,張芮 ⋆.𐙚˚,3321269049,-1,123402,89453,2026-02-08T06:46:19.000Z,true,https://www.instagram.com/p/DUfMC4Hk0Wf/
led7786,𝓖𝓲𝓷𝓪 𝓒𝓸𝓵𝓵𝓮𝓬𝓽𝓲𝓸𝓷翁千千,299733400,36,53658,40184,2026-02-05T16:00:00.000Z,false,https://www.instagram.com/p/DUYdVnsEzHF/
katty77_77,𝐾𝑎𝑡𝑦 𝐻𝑠𝑢,2124823463,-1,48683,45433,2026-02-01T12:01:45.000Z,true,https://www.instagram.com/p/DUNuqZiiUEk/
chang_yu_hua,𝘔𝘢𝘳𝘤𝘦𝘭𝘭𝘢 張育華 🐙🌷,1309841650,22,9126,7859,2026-01-28T12:02:26.000Z,true,https://www.instagram.com/p/DUDZp7bE_96/
imariariya,Ari,457887820,68,12240,11178,2026-01-27T12:02:18.000Z,true,https://www.instagram.com/p/DUA2rCcj5db/
mimihere0101,陳蘊予💕金莎Mira 🐰｜全方位主持人｜演員｜ISO 國際認證AI 講師｜咪咕嚕公益嘉年華會創辦人 ｜帶動跳姐姐 ｜親子｜寵物,284660953,258,9358,9358,2026-01-26T03:05:12.000Z,true,https://www.instagram.com/p/DT9Ualdk_Py/
ohdamnitsetiseyy_,PEI-TI CHANG,794871881,57,,,2025-08-23T07:09:16.000Z,false,https://www.instagram.com/p/DNsEj-44i5r/
xiaoxi_tw,小熙xiaoxi 샤오시,46111370210,516,11262,11262,2025-07-04T11:03:16.000Z,false,https://www.instagram.com/p/DLrvfEwTH-J/
winnie0104,何妤玟 Winnie Ho Yu Wen,196418904,229,45368,40621,2025-04-14T12:00:00.000Z,true,https://www.instagram.com/p/DIbRx7JSNqb/
ashleyjoe_827,JHC小喬嚴選,52204897428,462,826749,269723,2025-03-26T13:00:27.000Z,true,https://www.instagram.com/p/DHqc66QSpEO/
are_je.pi,jennny.C,57461111536,-1,163334,150432,2025-02-11T10:21:00.000Z,true,https://www.instagram.com/p/DF7cC1XSsk8/
jaly_chan,Jaly 接力,338349053,168,6851,6844,2024-10-03T10:22:54.000Z,true,https://www.instagram.com/p/DAqI9v9Ss25/
amoyching0824,妌Amoy,446920145,1120,460236,399255,2024-12-15T04:00:00.000Z,false,https://www.instagram.com/p/DDlbdzYvvjB/
